wine_type,wine_category,food_item,cuisine,pairing_quality,description
Sauvignon Blanc,White,citrus salad,Japanese,1,Deliberately bad pairing example for contrast.
Barbera,Red,grilled ribeye,Korean,1,Deliberately bad pairing example for contrast.
Chenin Blanc,White,beef stew,Argentinian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,charcuterie board,German,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,citrus salad,German,4,Acidic wine balances acidic food.
Sauternes,Dessert,olives and cheese,Argentinian,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,grilled salmon,American BBQ,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,cheese platter,Moroccan,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,oysters,Vietnamese,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,fondue,Thai,4,Heuristic pairing assessment.
Gamay,Red,roast lamb,Italian,1,Delicate wine overwhelmed by red meat.
Cabernet Sauvignon,Red,mac and cheese,Korean,1,Deliberately bad pairing example for contrast.
Malbec,Red,citrus salad,Mexican,5,Acidic wine balances acidic food.
Grüner Veltliner,White,lemon tart,Greek,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,carbonara,Vietnamese,1,Deliberately bad pairing example for contrast.
Grenache,Red,caprese salad,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,citrus salad,French,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,caprese salad,Ethiopian,5,Idealized perfect pairing example for contrast.
Riesling,White,roast lamb,Moroccan,3,Delicate wine overwhelmed by red meat.
Sauternes,Dessert,caprese salad,Chinese (Sichuan),4,Heuristic pairing assessment.
Chenin Blanc,White,roast lamb,Thai,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,cream of mushroom soup,Japanese,5,Idealized perfect pairing example for contrast.
Barbera,Red,mac and cheese,Moroccan,2,Heuristic pairing assessment.
Grüner Veltliner,White,bbq brisket,Italian,3,Delicate wine overwhelmed by red meat.
Grüner Veltliner,White,grilled ribeye,Greek,4,Heuristic pairing assessment.
Grüner Veltliner,White,grilled ribeye,Japanese,3,Heuristic pairing assessment.
Sauvignon Blanc,White,fondue,Greek,1,Deliberately bad pairing example for contrast.
Viognier,White,roast lamb,German,3,Delicate wine overwhelmed by red meat.
Chenin Blanc,White,beef stew,Korean,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,caprese salad,Ethiopian,3,Heuristic pairing assessment.
Sauternes,Dessert,fish tacos,Spanish,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,grilled ribeye,Middle Eastern,2,Heuristic pairing assessment.
Ice Wine,Dessert,chicken curry,Mexican,5,Idealized perfect pairing example for contrast.
Chenin Blanc,White,fondue,Greek,3,Heuristic pairing assessment.
Tempranillo,Red,cheese platter,Mexican,2,Heuristic pairing assessment.
Provence Rosé,Rosé,gazpacho,Ethiopian,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,fondue,Mexican,2,Heuristic pairing assessment.
Riesling,White,cheese platter,Argentinian,5,Idealized perfect pairing example for contrast.
Gewürztraminer,White,citrus salad,Spanish,3,Low-acid wine seems flabby vs acids.
Cava,Sparkling,bbq brisket,Spanish,5,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,grilled ribeye,German,4,Heuristic pairing assessment.
Tempranillo,Red,beef stew,Vietnamese,3,Heuristic pairing assessment.
Champagne,Sparkling,cheese platter,Moroccan,4,Heuristic pairing assessment.
Champagne,Sparkling,gazpacho,Thai,5,Acidic wine balances acidic food.
Gamay,Red,caprese salad,American BBQ,2,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Vietnamese,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,bbq brisket,Vietnamese,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,cream of mushroom soup,French,1,Too lean for creamy dish.
Riesling,White,citrus salad,Italian,3,Acidic wine balances acidic food.
Pinot Noir,Red,grilled ribeye,German,3,Heuristic pairing assessment.
Sauternes,Dessert,gazpacho,Mexican,3,Acidic wine balances acidic food.
Barbera,Red,cheese platter,Vietnamese,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,grilled ribeye,Italian,2,Heuristic pairing assessment.
Gamay,Red,beef stew,Mexican,2,Heuristic pairing assessment.
Albariño,White,lemon tart,German,1,Deliberately bad pairing example for contrast.
Zinfandel,Red,mac and cheese,Japanese,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,beef stew,Middle Eastern,2,Heuristic pairing assessment.
Champagne,Sparkling,caprese salad,Vietnamese,2,Heuristic pairing assessment.
Madeira,Fortified,grilled ribeye,German,3,Heuristic pairing assessment.
Sauvignon Blanc,White,sorbet,Moroccan,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,pork tenderloin,French,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,caprese salad,Vietnamese,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,mac and cheese,Spanish,2,Heuristic pairing assessment.
Barbera,Red,roast lamb,Greek,1,Deliberately bad pairing example for contrast.
Grenache,Red,fondue,German,5,Idealized perfect pairing example for contrast.
Zinfandel,Red,beef stew,Vietnamese,2,Heuristic pairing assessment.
Nebbiolo,Red,cream of mushroom soup,Moroccan,5,Idealized perfect pairing example for contrast.
Zinfandel,Red,roast lamb,Moroccan,5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,charcuterie board,Greek,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,shrimp scampi,Mexican,5,Idealized perfect pairing example for contrast.
Torrontés,White,Sichuan noodles,Middle Eastern,1,Deliberately bad pairing example for contrast.
Gewürztraminer,White,caprese salad,Japanese,2,Heuristic pairing assessment.
Chenin Blanc,White,fondue,Korean,4,Heuristic pairing assessment.
Sauternes,Dessert,mushroom risotto,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,alfredo pasta,American BBQ,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,shrimp scampi,Moroccan,1,Deliberately bad pairing example for contrast.
Champagne,Sparkling,bbq brisket,Italian,1,Delicate wine overwhelmed by red meat.
Riesling,White,citrus salad,Mexican,4,Acidic wine balances acidic food.
Zinfandel,Red,citrus salad,Italian,5,Acidic wine balances acidic food.
Madeira,Fortified,beef stew,Thai,2,Heuristic pairing assessment.
Tempranillo,Red,bbq brisket,Moroccan,1,Deliberately bad pairing example for contrast.
Sangiovese,Red,fondue,Chinese (Sichuan),4,Heuristic pairing assessment.
Tempranillo,Red,grilled ribeye,Indian,2,Heuristic pairing assessment.
Syrah,Red,grilled ribeye,French,1,Deliberately bad pairing example for contrast.
Chenin Blanc,White,gazpacho,Ethiopian,5,Acidic wine balances acidic food.
Albariño,White,lemon tart,Argentinian,1,Deliberately bad pairing example for contrast.
Port,Fortified,grilled ribeye,Korean,1,Deliberately bad pairing example for contrast.
Merlot,Red,mac and cheese,Thai,2,Heuristic pairing assessment.
Riesling,White,mac and cheese,Middle Eastern,5,Idealized perfect pairing example for contrast.
Zinfandel,Red,grilled burger,Vietnamese,5,Idealized perfect pairing example for contrast.
Tempranillo,Red,citrus salad,Argentinian,3,Acidic wine balances acidic food.
Tempranillo,Red,caprese salad,Indian,2,Heuristic pairing assessment.
Chenin Blanc,White,bbq brisket,French,2,Delicate wine overwhelmed by red meat.
Sauternes,Dessert,mushroom risotto,Argentinian,1,Deliberately bad pairing example for contrast.
Syrah,Red,caprese salad,Moroccan,4,Heuristic pairing assessment.
Viognier,White,caprese salad,American BBQ,1,Deliberately bad pairing example for contrast.
Pinot Noir,Red,cheese platter,Argentinian,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,beef stew,Greek,3,Heuristic pairing assessment.
Sauvignon Blanc,White,grilled salmon,Italian,1,Deliberately bad pairing example for contrast.
Barbera,Red,caprese salad,American BBQ,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,mushroom risotto,Spanish,5,Idealized perfect pairing example for contrast.
Chardonnay,White,beef stew,Middle Eastern,4,Heuristic pairing assessment.
Albariño,White,cheese platter,Ethiopian,4,Heuristic pairing assessment.
Nebbiolo,Red,cheese platter,Ethiopian,2,Heuristic pairing assessment.
Sauvignon Blanc,White,grilled ribeye,Indian,1,Deliberately bad pairing example for contrast.
Sauvignon Blanc,White,beef stew,Middle Eastern,1,Deliberately bad pairing example for contrast.
Grenache,Red,roast lamb,Japanese,2,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,fondue,German,1,Deliberately bad pairing example for contrast.
Zinfandel,Red,citrus salad,Moroccan,4,Acidic wine balances acidic food.
Provence Rosé,Rosé,mac and cheese,Italian,1,Deliberately bad pairing example for contrast.
Gamay,Red,gazpacho,American BBQ,5,Acidic wine balances acidic food.
Barbera,Red,fondue,Korean,2,Heuristic pairing assessment.
Torrontés,White,grilled ribeye,Mexican,1,Deliberately bad pairing example for contrast.
Barbera,Red,fondue,Argentinian,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,bbq brisket,Middle Eastern,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,cheese platter,Greek,5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,pork tenderloin,Greek,1,Deliberately bad pairing example for contrast.
Merlot,Red,mac and cheese,German,1,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,bbq brisket,Vietnamese,1,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,cheese platter,Chinese (Sichuan),4,Heuristic pairing assessment.
Pinot Noir,Red,grilled ribeye,Moroccan,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,cheesecake,Ethiopian,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,citrus salad,Greek,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,citrus salad,Vietnamese,3,Acidic wine balances acidic food.
Viognier,White,citrus salad,Spanish,1,Low-acid wine seems flabby vs acids.
Viognier,White,beef stew,American BBQ,1,Deliberately bad pairing example for contrast.
Chardonnay,White,caprese salad,Middle Eastern,2,Heuristic pairing assessment.
Chardonnay,White,citrus salad,Thai,4,Acidic wine balances acidic food.
Pinot Noir,Red,cheese platter,French,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,charcuterie board,Korean,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,mac and cheese,Indian,2,Heuristic pairing assessment.
Viognier,White,fondue,Spanish,1,Deliberately bad pairing example for contrast.
Port,Fortified,gazpacho,German,3,Low-acid wine seems flabby vs acids.
Sauvignon Blanc,White,cheese platter,German,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,caprese salad,Chinese (Sichuan),2,Heuristic pairing assessment.
Viognier,White,caprese salad,Chinese (Sichuan),2,Heuristic pairing assessment.
Grüner Veltliner,White,gazpacho,German,3,Acidic wine balances acidic food.
Chenin Blanc,White,bbq brisket,German,2,Delicate wine overwhelmed by red meat.
Chardonnay,White,grilled ribeye,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Syrah,Red,mac and cheese,Korean,2,Heuristic pairing assessment.
Chardonnay,White,grilled ribeye,Vietnamese,3,Heuristic pairing assessment.
Sauvignon Blanc,White,carbonara,Moroccan,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,fondue,Argentinian,4,Heuristic pairing assessment.
Sangiovese,Red,roast lamb,German,5,Tannic red complements red meat fat.
Port,Fortified,beef stew,Italian,3,Heuristic pairing assessment.
Riesling,White,beef stew,Vietnamese,2,Heuristic pairing assessment.
Grenache,Red,bbq brisket,Greek,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,gazpacho,Spanish,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,vegetable curry,Ethiopian,5,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,cheese platter,French,5,Idealized perfect pairing example for contrast.
Sangiovese,Red,grilled ribeye,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,beef stew,Middle Eastern,4,Heuristic pairing assessment.
Albariño,White,cheese platter,Japanese,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,olives and cheese,Italian,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,fondue,Mexican,5,Idealized perfect pairing example for contrast.
Chenin Blanc,White,mac and cheese,Thai,2,Heuristic pairing assessment.
Barbera,Red,roast lamb,German,3,Delicate wine overwhelmed by red meat.
Cava,Sparkling,cheese platter,Argentinian,2,Heuristic pairing assessment.
Albariño,White,caprese salad,Indian,3,Heuristic pairing assessment.
Merlot,Red,citrus salad,American BBQ,5,Acidic wine balances acidic food.
Ice Wine,Dessert,smoked sausage,Middle Eastern,1,Deliberately bad pairing example for contrast.
Port,Fortified,caprese salad,Greek,2,Heuristic pairing assessment.
Albariño,White,mac and cheese,Italian,5,Idealized perfect pairing example for contrast.
Grenache,Red,caprese salad,Mexican,1,Deliberately bad pairing example for contrast.
Malbec,Red,caprese salad,American BBQ,2,Heuristic pairing assessment.
Chenin Blanc,White,citrus salad,Korean,1,Deliberately bad pairing example for contrast.
Madeira,Fortified,caprese salad,Ethiopian,2,Heuristic pairing assessment.
Ice Wine,Dessert,beef stew,Indian,5,Idealized perfect pairing example for contrast.
Gamay,Red,caprese salad,Korean,3,Heuristic pairing assessment.
Zinfandel,Red,mac and cheese,Chinese (Sichuan),3,Heuristic pairing assessment.
Cava,Sparkling,fondue,Spanish,4,Heuristic pairing assessment.
Gamay,Red,bbq brisket,French,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,cheese platter,Thai,4,Heuristic pairing assessment.
Sauvignon Blanc,White,cheese platter,Spanish,3,Heuristic pairing assessment.
Grüner Veltliner,White,chocolate mousse,Argentinian,5,Idealized perfect pairing example for contrast.
Zinfandel,Red,fondue,Spanish,4,Heuristic pairing assessment.
Chenin Blanc,White,mac and cheese,French,4,Heuristic pairing assessment.
Albariño,White,citrus salad,Middle Eastern,5,Acidic wine balances acidic food.
Sauternes,Dessert,caprese salad,Indian,1,Deliberately bad pairing example for contrast.
Tempranillo,Red,gazpacho,Thai,4,Acidic wine balances acidic food.
Albariño,White,mac and cheese,Moroccan,1,Deliberately bad pairing example for contrast.
Albariño,White,bbq brisket,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,olives and cheese,Korean,5,Idealized perfect pairing example for contrast.
Sangiovese,Red,grilled ribeye,Vietnamese,5,Idealized perfect pairing example for contrast.
Grenache,Red,mac and cheese,Korean,3,Heuristic pairing assessment.
Sangiovese,Red,cheese platter,American BBQ,2,Heuristic pairing assessment.
Chardonnay,White,bbq brisket,Korean,1,Deliberately bad pairing example for contrast.
Madeira,Fortified,caprese salad,Spanish,3,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,German,1,Deliberately bad pairing example for contrast.
Syrah,Red,fondue,Moroccan,4,Heuristic pairing assessment.
Zinfandel,Red,grilled ribeye,Vietnamese,2,Heuristic pairing assessment.
Ice Wine,Dessert,fish tacos,Spanish,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,cheese platter,Greek,5,Idealized perfect pairing example for contrast.
Pinot Noir,Red,beef stew,German,5,Idealized perfect pairing example for contrast.
Merlot,Red,beef stew,Greek,2,Heuristic pairing assessment.
Sauvignon Blanc,White,caprese salad,Korean,2,Heuristic pairing assessment.
Albariño,White,caprese salad,Argentinian,3,Heuristic pairing assessment.
Gewürztraminer,White,bbq brisket,Korean,3,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,grilled ribeye,Mexican,2,Heuristic pairing assessment.
White Zinfandel,Rosé,citrus salad,Mexican,1,Low-acid wine seems flabby vs acids.
Sauternes,Dessert,caprese salad,Moroccan,4,Heuristic pairing assessment.
Provence Rosé,Rosé,cheese platter,Argentinian,2,Heuristic pairing assessment.
Port,Fortified,beef stew,Italian,2,Heuristic pairing assessment.
Merlot,Red,mac and cheese,Spanish,4,Heuristic pairing assessment.
Ice Wine,Dessert,fondue,Korean,2,Heuristic pairing assessment.
Albariño,White,fish tacos,Moroccan,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,grilled ribeye,French,1,Deliberately bad pairing example for contrast.
Torrontés,White,bbq brisket,Chinese (Sichuan),3,Delicate wine overwhelmed by red meat.
Nebbiolo,Red,cheese platter,Spanish,4,Heuristic pairing assessment.
Riesling,White,beef stew,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,fondue,Chinese (Sichuan),2,Heuristic pairing assessment.
Sauternes,Dessert,pork tenderloin,Middle Eastern,5,Idealized perfect pairing example for contrast.
Albariño,White,gazpacho,Indian,3,Acidic wine balances acidic food.
Zinfandel,Red,fondue,Chinese (Sichuan),2,Heuristic pairing assessment.
Grüner Veltliner,White,mac and cheese,Korean,3,Heuristic pairing assessment.
Chardonnay,White,beef stew,Greek,4,Heuristic pairing assessment.
Nebbiolo,Red,citrus salad,Japanese,4,Acidic wine balances acidic food.
Sauternes,Dessert,gazpacho,Thai,1,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,gazpacho,Mexican,3,Acidic wine balances acidic food.
Chenin Blanc,White,citrus salad,Greek,4,Acidic wine balances acidic food.
Sauvignon Blanc,White,sorbet,Indian,3,Dry table wine clashes with dessert sweetness.
Ice Wine,Dessert,grilled ribeye,Japanese,3,Heuristic pairing assessment.
Riesling,White,fondue,Spanish,4,Heuristic pairing assessment.
Torrontés,White,beef stew,Chinese (Sichuan),2,Heuristic pairing assessment.
Sangiovese,Red,mac and cheese,Korean,2,Heuristic pairing assessment.
Sauvignon Blanc,White,bbq brisket,Vietnamese,3,Delicate wine overwhelmed by red meat.
Grenache,Red,olives and cheese,Argentinian,5,Idealized perfect pairing example for contrast.
Riesling,White,mac and cheese,Indian,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,fondue,Mexican,1,Deliberately bad pairing example for contrast.
Grenache,Red,roast lamb,Indian,5,Idealized perfect pairing example for contrast.
White Zinfandel,Rosé,cheese platter,German,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,grilled ribeye,Vietnamese,2,Heuristic pairing assessment.
Port,Fortified,gazpacho,American BBQ,3,Low-acid wine seems flabby vs acids.
Chardonnay,White,citrus salad,Greek,4,Acidic wine balances acidic food.
Sauvignon Blanc,White,citrus salad,Mexican,3,Acidic wine balances acidic food.
Merlot,Red,beef stew,Mexican,2,Heuristic pairing assessment.
Torrontés,White,fondue,Japanese,4,Heuristic pairing assessment.
Grenache,Red,bbq brisket,Greek,2,Delicate wine overwhelmed by red meat.
Champagne,Sparkling,gazpacho,Korean,1,Deliberately bad pairing example for contrast.
Port,Fortified,mac and cheese,Moroccan,5,Idealized perfect pairing example for contrast.
Albariño,White,bbq brisket,German,3,Delicate wine overwhelmed by red meat.
Madeira,Fortified,citrus salad,Chinese (Sichuan),3,Acidic wine balances acidic food.
White Zinfandel,Rosé,gazpacho,Vietnamese,3,Low-acid wine seems flabby vs acids.
Riesling,White,mac and cheese,Vietnamese,5,Idealized perfect pairing example for contrast.
Pinot Noir,Red,fondue,Argentinian,2,Heuristic pairing assessment.
Grüner Veltliner,White,caprese salad,Middle Eastern,4,Heuristic pairing assessment.
Albariño,White,bbq brisket,Japanese,3,Delicate wine overwhelmed by red meat.
Sauvignon Blanc,White,mac and cheese,Chinese (Sichuan),2,Heuristic pairing assessment.
Pinot Noir,Red,roast lamb,German,3,Delicate wine overwhelmed by red meat.
Madeira,Fortified,roast lamb,Middle Eastern,1,Delicate wine overwhelmed by red meat.
Grenache,Red,mac and cheese,Mexican,4,Heuristic pairing assessment.
Grenache,Red,gazpacho,Argentinian,3,Acidic wine balances acidic food.
Merlot,Red,beef stew,American BBQ,1,Deliberately bad pairing example for contrast.
Grenache,Red,fondue,Middle Eastern,1,Deliberately bad pairing example for contrast.
Nebbiolo,Red,citrus salad,French,4,Acidic wine balances acidic food.
Gamay,Red,beef stew,Middle Eastern,4,Heuristic pairing assessment.
Provence Rosé,Rosé,caprese salad,Chinese (Sichuan),2,Heuristic pairing assessment.
Tempranillo,Red,grilled ribeye,Ethiopian,4,Heuristic pairing assessment.
Gewürztraminer,White,fondue,Spanish,5,Idealized perfect pairing example for contrast.
Syrah,Red,caprese salad,Italian,1,Deliberately bad pairing example for contrast.
Zinfandel,Red,roast lamb,Indian,3,Tannic red complements red meat fat.
Barbera,Red,cheese platter,Spanish,3,Heuristic pairing assessment.
Zinfandel,Red,beef stew,Argentinian,5,Idealized perfect pairing example for contrast.
Gewürztraminer,White,caprese salad,Korean,4,Heuristic pairing assessment.
Ice Wine,Dessert,gazpacho,Ethiopian,5,Acidic wine balances acidic food.
Chenin Blanc,White,fondue,Mexican,2,Heuristic pairing assessment.
Albariño,White,carbonara,Middle Eastern,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,mac and cheese,Moroccan,2,Heuristic pairing assessment.
Pinot Noir,Red,beef stew,American BBQ,4,Heuristic pairing assessment.
Pinot Noir,Red,mac and cheese,Ethiopian,4,Heuristic pairing assessment.
Gewürztraminer,White,grilled ribeye,Argentinian,2,Heuristic pairing assessment.
Tempranillo,Red,cheese platter,American BBQ,4,Heuristic pairing assessment.
Sauternes,Dessert,mac and cheese,Japanese,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,citrus salad,French,4,Acidic wine balances acidic food.
Tempranillo,Red,mac and cheese,Mexican,4,Heuristic pairing assessment.
Cava,Sparkling,fondue,Spanish,2,Heuristic pairing assessment.
Barbera,Red,fondue,Moroccan,2,Heuristic pairing assessment.
Grenache,Red,gazpacho,Mexican,4,Acidic wine balances acidic food.
Albariño,White,roast lamb,Spanish,5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,shrimp scampi,Moroccan,1,Deliberately bad pairing example for contrast.
Gamay,Red,bbq brisket,Vietnamese,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,caprese salad,German,1,Deliberately bad pairing example for contrast.
Gamay,Red,fondue,Japanese,5,Idealized perfect pairing example for contrast.
Grüner Veltliner,White,stir-fried tofu,Thai,5,Idealized perfect pairing example for contrast.
Gamay,Red,fondue,Chinese (Sichuan),2,Heuristic pairing assessment.
Grüner Veltliner,White,lemon tart,Korean,1,Deliberately bad pairing example for contrast.
Nebbiolo,Red,alfredo pasta,Vietnamese,5,Idealized perfect pairing example for contrast.
Malbec,Red,fondue,Thai,4,Heuristic pairing assessment.
White Zinfandel,Rosé,cheese platter,Middle Eastern,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,charcuterie board,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Malbec,Red,cheese platter,American BBQ,4,Heuristic pairing assessment.
Grüner Veltliner,White,citrus salad,German,3,Acidic wine balances acidic food.
Grenache,Red,citrus salad,Korean,4,Acidic wine balances acidic food.
Torrontés,White,roast lamb,Greek,3,Delicate wine overwhelmed by red meat.
Riesling,White,citrus salad,Greek,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,fondue,German,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,beef stew,Ethiopian,1,Deliberately bad pairing example for contrast.
Provence Rosé,Rosé,beef stew,Middle Eastern,3,Heuristic pairing assessment.
Sangiovese,Red,beef stew,American BBQ,2,Heuristic pairing assessment.
Ice Wine,Dessert,lemon tart,Ethiopian,1,Deliberately bad pairing example for contrast.
Torrontés,White,mac and cheese,Korean,2,Heuristic pairing assessment.
Port,Fortified,sorbet,Spanish,5,Idealized perfect pairing example for contrast.
Chenin Blanc,White,grilled ribeye,Chinese (Sichuan),2,Heuristic pairing assessment.
Riesling,White,mac and cheese,Spanish,2,Heuristic pairing assessment.
Gamay,Red,caprese salad,Korean,1,Deliberately bad pairing example for contrast.
Nebbiolo,Red,Indian vindaloo,Vietnamese,5,Idealized perfect pairing example for contrast.
Pinot Noir,Red,grilled ribeye,Moroccan,4,Heuristic pairing assessment.
Sangiovese,Red,fondue,Italian,1,Deliberately bad pairing example for contrast.
Chardonnay,White,grilled ribeye,Mexican,5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,caprese salad,Korean,2,Heuristic pairing assessment.
Riesling,White,citrus salad,Ethiopian,5,Acidic wine balances acidic food.
Nebbiolo,Red,citrus salad,Spanish,3,Acidic wine balances acidic food.
Gewürztraminer,White,caprese salad,Ethiopian,4,Heuristic pairing assessment.
Champagne,Sparkling,gazpacho,Ethiopian,5,Idealized perfect pairing example for contrast.
Chardonnay,White,grilled ribeye,French,3,Heuristic pairing assessment.
Madeira,Fortified,bbq brisket,German,2,Delicate wine overwhelmed by red meat.
Merlot,Red,mac and cheese,American BBQ,5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,caprese salad,German,2,Heuristic pairing assessment.
Port,Fortified,citrus salad,Argentinian,1,Low-acid wine seems flabby vs acids.
Sauvignon Blanc,White,alfredo pasta,American BBQ,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,olives and cheese,Vietnamese,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,cheese platter,Mexican,2,Heuristic pairing assessment.
Riesling,White,caprese salad,Vietnamese,2,Heuristic pairing assessment.
White Zinfandel,Rosé,caprese salad,French,3,Heuristic pairing assessment.
Pinot Noir,Red,bbq brisket,Argentinian,5,Idealized perfect pairing example for contrast.
Malbec,Red,mac and cheese,Korean,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,cheese platter,American BBQ,4,Heuristic pairing assessment.
Port,Fortified,roast lamb,Japanese,3,Delicate wine overwhelmed by red meat.
Port,Fortified,beef stew,Spanish,5,Idealized perfect pairing example for contrast.
Torrontés,White,grilled ribeye,German,4,Heuristic pairing assessment.
Zinfandel,Red,fondue,Moroccan,5,Idealized perfect pairing example for contrast.
Grenache,Red,bbq brisket,Vietnamese,1,Delicate wine overwhelmed by red meat.
Chardonnay,White,beef stew,Middle Eastern,3,Heuristic pairing assessment.
Zinfandel,Red,roast lamb,Vietnamese,1,Deliberately bad pairing example for contrast.
Champagne,Sparkling,caprese salad,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Viognier,White,caprese salad,Ethiopian,4,Heuristic pairing assessment.
Ice Wine,Dessert,stir-fried tofu,Spanish,1,Deliberately bad pairing example for contrast.
Champagne,Sparkling,caprese salad,Vietnamese,4,Heuristic pairing assessment.
Viognier,White,caprese salad,Argentinian,5,Idealized perfect pairing example for contrast.
Zinfandel,Red,roast lamb,Middle Eastern,1,Deliberately bad pairing example for contrast.
Nebbiolo,Red,mac and cheese,Argentinian,2,Heuristic pairing assessment.
Tempranillo,Red,fondue,Moroccan,4,Heuristic pairing assessment.
Zinfandel,Red,caprese salad,Vietnamese,4,Heuristic pairing assessment.
Zinfandel,Red,cheese platter,Argentinian,5,Idealized perfect pairing example for contrast.
Merlot,Red,citrus salad,Chinese (Sichuan),5,Acidic wine balances acidic food.
Sauternes,Dessert,mac and cheese,Chinese (Sichuan),4,Heuristic pairing assessment.
Gamay,Red,caprese salad,Middle Eastern,1,Deliberately bad pairing example for contrast.
Torrontés,White,beef stew,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Port,Fortified,caprese salad,Middle Eastern,3,Heuristic pairing assessment.
Port,Fortified,gazpacho,Moroccan,1,Low-acid wine seems flabby vs acids.
Riesling,White,cheese platter,Vietnamese,1,Deliberately bad pairing example for contrast.
Port,Fortified,bbq brisket,Greek,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,grilled salmon,Mexican,5,Idealized perfect pairing example for contrast.
Syrah,Red,citrus salad,Spanish,3,Acidic wine balances acidic food.
Barbera,Red,citrus salad,Chinese (Sichuan),3,Acidic wine balances acidic food.
Malbec,Red,cheese platter,American BBQ,5,Idealized perfect pairing example for contrast.
Chenin Blanc,White,beef stew,Italian,4,Heuristic pairing assessment.
Merlot,Red,cheese platter,Korean,2,Heuristic pairing assessment.
